"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","parentTerm"
"32","GO:1903311","regulation of mRNA metabolic process","8/35","404/18805",0.0198019801980198,10.6393210749646,8.45752759344359,5.9959798730128e-07,1.78880066211549e-05,1.00458961030302e-05,"MIR199B/MIR185/MIR18A/MIR125A/MIR665/MIRLET7C/MIR145/MIR326",8,"regulation of translation"
"33","GO:0006401","RNA catabolic process","8/35","415/18805",0.0192771084337349,10.3573149741824,8.32360455625896,7.34212356367238e-07,2.10278418863577e-05,1.1809226110833e-05,"MIR199B/MIR185/MIR18A/MIR125A/MIR665/MIRLET7C/MIR145/MIR326",8,"regulation of translation"
"34","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","6/35","329/18805",0.0182370820668693,9.79852366478506,6.95233652467847,2.89861181636029e-05,0.000329429533414916,0.000185007470985736,"MIR199B/MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",6,"cell surface receptor protein serine/threonine kinase signaling pathway"
"35","GO:0090287","regulation of cellular response to growth factor stimulus","7/35","384/18805",0.0182291666666667,9.79427083333333,7.51858050523439,5.75566709696865e-06,0.000108448885300778,6.0904842965153e-05,"MIR199B/MIR18A/MIR323A/MIR10B/MIR17/MIR145/MIRLET7F1",7,"regulation of cellular response to growth factor stimulus"
"36","GO:0030336","negative regulation of cell migration","7/35","388/18805",0.0180412371134021,9.69329896907216,7.47167618026637,6.15969742897331e-06,0.000113085727157561,6.3508891170521e-05,"MIR185/MIR505/MIR126/MIR665/MIR145/MIR31/MIR451A",8,"negative regulation of locomotion"
"37","GO:0141188","nucleic acid catabolic process","8/35","444/18805",0.018018018018018,9.68082368082368,7.99339477132389,1.21936719710474e-06,3.35794966587304e-05,1.88582295260732e-05,"MIR199B/MIR185/MIR18A/MIR125A/MIR665/MIRLET7C/MIR145/MIR326",8,"regulation of translation"
"38","GO:0006417","regulation of translation","8/35","451/18805",0.0177383592017738,9.53056699398163,7.91822452813848,1.37080517856504e-06,3.50534467090204e-05,1.96859991808965e-05,"MIR126/MIR125A/MIR877/MIR10B/MIR17/MIR145/MIR31/MIR590",9,"regulation of translation"
"39","GO:2000146","negative regulation of cell motility","7/35","403/18805",0.0173697270471464,9.33250620347395,7.30167776098572,7.89182445638007e-06,0.00013596830904953,7.63597383959432e-05,"MIR185/MIR505/MIR126/MIR665/MIR145/MIR31/MIR451A",8,"negative regulation of locomotion"
"40","GO:0043542","endothelial cell migration","5/35","293/18805",0.0170648464163823,9.16869819600195,6.08537011324789,0.000196387583207271,0.00164351253051815,0.00092299586394874,"MIR505/MIR126/MIR10B/MIR31/MIRLET7F1",6,"endothelial cell migration"
"41","GO:0040013","negative regulation of locomotion","7/35","421/18805",0.0166270783847981,8.93349168646081,7.10906393980213,1.04880516549944e-05,0.000166876555221688,9.37177949054469e-05,"MIR185/MIR505/MIR126/MIR665/MIR145/MIR31/MIR451A",8,"negative regulation of locomotion"
"42","GO:0071560","cellular response to transforming growth factor beta stimulus","5/35","308/18805",0.0162337662337662,8.7221706864564,5.9005312377324,0.000247500893381448,0.00191279968403653,0.00107422740267855,"MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",5,"regulation of cellular response to growth factor stimulus"
"43","GO:0071559","response to transforming growth factor beta","5/35","315/18805",0.0158730158730159,8.52834467120181,5.81853060042359,0.00027456215950686,0.0019857222849183,0.00111518070102733,"MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",5,"regulation of cellular response to growth factor stimulus"
"44","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","6/35","399/18805",0.0150375939849624,8.07948442534909,6.17213443408434,8.47013403257408e-05,0.000891855289312212,0.000500865510904535,"MIR199B/MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",6,"regulation of cellular response to growth factor stimulus"
"45","GO:0051051","negative regulation of transport","7/35","467/18805",0.0149892933618844,8.05353319057816,6.66524591633653,2.04998895972695e-05,0.000254499753138872,0.000142926941633416,"MIR185/MIR30D/MIR17/MIR145/MIR326/MIR33B/MIR451A",7,"lipid localization"
"46","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","6/35","427/18805",0.0140515222482436,7.54968216794915,5.91169537110264,0.00012288531945219,0.00115770906220748,0.000650168864691644,"MIR199B/MIR18A/MIR323A/MIR17/MIR145/MIRLET7F1",6,"cell surface receptor protein serine/threonine kinase signaling pathway"
"47","GO:0010876","lipid localization","5/35","482/18805",0.0103734439834025,5.57350326022525,4.39239338125346,0.0018640763099644,0.00872338979042165,0.00489905160238323,"MIR185/MIR10B/MIR17/MIR145/MIR33B",5,"lipid localization"
