mirna,protein,cor_score,pval,adj_pval,de_mirna,de_prot,both_de,is_target
hsa-miR-151b,HPX,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-342-5p,HSPB1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-342-5p,TNC,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-337-5p,SLC2A1,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-431-5p,IGHG3,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-431-3p,ATP1A1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-431-3p,UBA1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-432-5p,GGT3P,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-379-3p,C3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-299-5p,RELN,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-299-5p,STOM,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-380-3p,CD47,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-758-3p,RELN,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-758-3p,STOM,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-494-3p,CPNE3,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-494-3p,IGHV3-9,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-494-3p,STOM,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-543,F11R,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-495-3p,C3,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-495-3p,C9,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-654-3p,C9,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1185-5p,IGHV3-9,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1185-2-3p,IGKV3-20,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-539-3p,F2RL3,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-487a-5p,C9,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-134-3p,C9,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-134-3p,F11R,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-5p,ADAM10,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-5p,ICAM2,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-5p,ITGB3,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-5p,MYH9,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-485-5p,MYL6,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-5p,TESC,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-5p,TTYH3,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-3p,EXOC3L4,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-485-3p,IGHV1-2,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-154-3p,C3,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-377-3p,C9,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-377-3p,F11R,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-409-5p,SLC9A2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-369-5p,C3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-369-5p,C9,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-369-3p,FGG,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-410-3p,C1QTNF3,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-203a-3p,PON1,0.9758,0,0.007,TRUE,FALSE,FALSE,FALSE
hsa-miR-4508,C5,-0.9879,0,0.0011,FALSE,FALSE,FALSE,FALSE
hsa-miR-4508,CORO1C,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-4508,PROS1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-627-5p,ANXA11,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-627-5p,MYL6,-0.9515,0,0.0281,FALSE,FALSE,FALSE,TRUE
hsa-miR-627-5p,PDCD6,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-628-5p,ATP6V1A,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-628-5p,KLKB1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-190a-5p,DCTN1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-4511,ROCK2,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-4511,SPTB,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-4511,TUBB,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-1179,COLEC10,-0.9394,1e-04,0.0416,TRUE,FALSE,FALSE,FALSE
hsa-miR-7-5p,GP1BB,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3179,APOD,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-1273h-5p,RHOA,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1273h-5p,SERPINA1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-6862-5p,PSMA6,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-138-5p,IGKV1-16,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-328-3p,BSG,0.9515,0,0.0281,FALSE,FALSE,FALSE,TRUE
hsa-miR-328-3p,IGHV1-18,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-328-3p,PCNA,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-5189-5p,ST8SIA4,0.9515,0,0.0281,TRUE,FALSE,FALSE,FALSE
hsa-miR-4521,ATP2A3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-144-3p,GPLD1,-0.9515,0,0.0281,TRUE,TRUE,TRUE,FALSE
hsa-miR-4732-5p,CCT7,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-193a-3p,ACTA2,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-548at-5p,ACTN1,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-548at-5p,TPM4,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-548at-5p,YWHAE,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-548at-5p,YWHAH,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-548at-5p,YWHAQ,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-548at-5p,YWHAZ,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3615,APOB,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-338-5p,NID1,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-320c,FERMT3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-122-5p,CPD,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-122-5p,LDHA,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3187-5p,SNRNP200,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-3940-3p,TMBIM1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-24-2-5p,ANXA7,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-24-2-5p,CCT7,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-24-2-5p,CPNE3,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-24-2-5p,PODXL,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-24-2-5p,RELN,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-24-2-5p,STOM,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-23a-5p,STX4,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-1270,APOA1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1270,MYL12B,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3190-3p,GP1BB,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3190-3p,PAK6,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3190-3p,PFN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3190-3p,PODXL,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3190-3p,RAC2,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-3190-3p,SERPINA1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3191-5p,ATP6V1A,0.9394,1e-04,0.0416,TRUE,FALSE,FALSE,FALSE
hsa-miR-3191-5p,KLKB1,-0.9515,0,0.0281,TRUE,FALSE,FALSE,FALSE
hsa-miR-125a-3p,IGHV3-64D,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-125a-3p,TGFB1,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-4433b-3p,SH3GL1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-128-1-5p,ANXA5,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-128-1-5p,FLNA,0.9515,0,0.0281,FALSE,FALSE,FALSE,TRUE
hsa-miR-128-1-5p,PRDX1,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
