Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
s_m,hsa-miR-125b-2-3p,hsa-miR-125b-2-3p,61,0.4098,1.5283,0.0101,0.0284,0.0151,237,tags=48% list=33% signal=35%,NCKAP1/SLC16A1/WASF2/PKM/F11R/RTCB/RAF1/ADAM10/ANXA5/CD47/UGP2/HSPA8/SLC44A1/TXNRD1/RPL9/ATP5F1A/TPP2/WDR1/TUBA1B/YES1/HSP90AA1/GNB1/ENO1/RPL18/ATP1A1/HSP90AB1/MSN/HSPD1/HNRNPK
s_m,hsa-miR-425-5p,hsa-miR-425-5p,102,0.3572,1.4738,0.0104,0.0291,0.0155,243,tags=46% list=34% signal=35%,SLC16A1/CMIP/DEK/WASF2/PKM/VAMP3/CYFIP1/C1QBP/RTCB/TGFB1/DDX21/YWHAB/ARF3/SLC25A3/PFKP/SLC44A1/SLC30A1/PAK2/YWHAQ/YWHAZ/ATP5F1A/RPL27/MYO18A/CD44/RAB11B/IQGAP2/YWHAG/GPI/YES1/HSP90AA1/FLNA/ATP6V1A/HNRNPD/CAP1/NRAS/NONO/GNAS/YARS1/GAPDH/GNAZ/EIF2A/ANXA2/RPL14/HSPD1/EIF3J/RPL13/G6PD
s_m,hsa-miR-199a-5p,hsa-miR-199a-5p,64,0.3972,1.5056,0.0107,0.0297,0.0158,219,tags=41% list=31% signal=31%,NCKAP1/SLC16A1/LYN/ROCK2/ACTA2/PKM/CYFIP1/PSMA4/ILK/TGFB1/ADAM10/YWHAB/PRKCSH/TXNRD1/PAK2/HSP90B1/CD44/YWHAG/IGF2BP3/HSPB1/NRAS/NONO/CPNE2/FLOT1/ATP1A1/GAPDH
s_m,hsa-miR-374b-5p,hsa-miR-374b-5p,155,0.3329,1.4507,0.0107,0.0297,0.0158,239,tags=43% list=34% signal=36%,NCKAP1/CALM1/SLC16A1/RDX/RAP2B/CMIP/STOM/ROCK2/RAC1/DYNC1I2/DEK/ARPC2/WASF2/RAB7A/C1QBP/YWHAH/RHOA/ADAM10/ANXA5/VCP/DDX21/RAB2A/FNBP4/CD47/RAP1B/YWHAB/SLC25A3/TXNRD1/FERMT3/SLC30A1/SUSD1/YWHAZ/RPL27/CCT8/PSMA1/PTPRJ/PDIA3/PGD/YWHAE/CAPZA1/HSP90AA1/CD82/RAB8B/HNRNPD/LRPPRC/CAP1/NRAS/NONO/RPA1/SLC44A2/CD226/PHF6/CORO1C/ATP1A1/SHB/HSP90AB1/ANXA2/TFAM/NCAM1/MSN/HSPD1/EIF3J/NID1/GART/HNRNPK/PRDX1
s_m,hsa-miR-3200-3p,hsa-miR-3200-3p,107,0.3681,1.5295,0.0108,0.0298,0.0159,219,tags=46% list=31% signal=37%,CALM1/RAP2B/TRIM28/NAP1L4/ARPC2/SLC2A3/PKM/VAMP3/RAB7A/C1QBP/RTCB/FNBP4/YWHAB/HSPA8/TLN1/CD55/SF3B2/YWHAQ/ATP5F1A/HSP90B1/MYO18A/CCT8/ADCY6/MCM6/BSG/YWHAG/WDR1/PTPRJ/PDIA3/RPS6/YWHAE/HSP90AA1/GNB1/FLNA/ATP6V1A/CFL1/HNRNPD/LRPPRC/HSPB1/TENT4B/NONO/ACTB/ENO1/PEBP1/PPIA/GNAS/ATP1A1/HSP90AB1/GAPDH
s_m,hsa-miR-145-3p,hsa-miR-145-3p,186,0.3225,1.4323,0.0111,0.0306,0.0163,243,tags=43% list=34% signal=38%,NCKAP1/CALM1/SLC16A1/CIB1/TRIM28/CMIP/CAPZB/NAP1L4/PDCD6/ANXA6/PKM/RHOT2/CYFIP1/RBM42/YWHAH/RTCB/ANXA11/ILK/RAF1/RHOA/SRD5A1/ADAM10/DIAPH1/VCP/DDX21/RAB2A/YWHAB/HSPA8/TLN1/PRKCSH/SLC44A1/TXNRD1/TRAP1/ITGB1/LDHB/MYLK/RPL35/SLC30A1/PAK2/ANXA7/RPL3/SF3B2/YWHAZ/VCL/HSP90B1/CD44/BSG/SRC/YWHAG/RPS2/GPI/YES1/RPS6/HSP90AA1/FLNA/ARPC3/CFL1/NONO/ACTB/ENO1/SLC44A2/SETD1A/NACA/RPL18/CORO1C/GNAI2/GNAS/PCBP2/ATP1A1/HSP90AB1/GAPDH/ANXA2/MSN/RPL14/HSPD1/GART/FGFR1/HNRNPK/HYOU1/G6PD
s_m,hsa-miR-1180-3p,hsa-miR-1180-3p,142,0.3326,1.4309,0.0113,0.031,0.0165,263,tags=45% list=37% signal=35%,NCKAP1/TSPAN9/RDX/CMIP/HIP1R/ANXA6/ARPC2/PKM/RBM42/C1QBP/PSMA4/TMBIM1/RHOA/DIAPH1/ANXA5/VCP/DDX21/HSPA8/TLN1/TRAP1/ITGB1/MYLK/RPL35/PAK2/ANXA7/SF3B2/PHB2/HSP90B1/CD44/ADCY6/MCM6/BSG/RPL27A/GPI/PGD/H2BC12/HSP90AA1/FBL/GNB1/FLNA/ARPC3/LRPPRC/TENT4B/SHROOM3/NONO/RPA1/ACTB/SETD1A/NACA/ATP1A1/GAPDH/MSN/RPL14/HSPD1/GART/HNRNPK/RPL13/HYOU1/DDX39A/CS/RPS9/EEF2/RPS5/ITGA6
s_m,hsa-miR-4446-3p,hsa-miR-4446-3p,112,0.3552,1.4781,0.0118,0.032,0.017,243,tags=51% list=34% signal=40%,NCKAP1/CALM1/PFN1/TRIM28/ROCK2/RAC1/NAP1L4/EML3/DYNC1I2/ALDOA/SLC2A3/WASF2/PKM/CYFIP1/RAB7A/RBM42/YWHAH/PSMA3/PSMA4/ANXA11/RHOA/ANXA5/RAP1B/YWHAB/TLN1/PRKCSH/CD63/ATP5F1A/RPL27/VCL/RAB11B/MCM6/WDR1/TUBA1B/CAPZA1/GNB1/FLNA/HLA-A/SLC35A4/LRPPRC/FLOT1/NACA/ATP1A1/SHB/GNAZ/GNG5/EIF2A/FLOT2/NCAM1/ACADVL/HSPD1/NID1/ULK1/GART/RPL13/SPTB/G6PD
s_m,hsa-let-7i-3p,hsa-let-7i-3p,125,0.3446,1.4604,0.0118,0.032,0.017,244,tags=46% list=34% signal=37%,NCKAP1/LYN/TRIM28/DEK/ARPC2/WASF2/CYFIP1/YWHAH/PSMA4/RTCB/ADAM10/PSMA6/DIAPH1/VCP/FNBP4/F13A1/UGP2/YWHAB/ARF3/TLN1/PGK1/SLC25A3/SLC44A1/LDHB/SLC30A1/SUSD1/ANXA7/PHB2/YWHAQ/STEAP3/YWHAZ/MYO18A/YWHAG/PTPRJ/GPI/RAB8B/GNB1/ATP6V1A/HNRNPD/TENT4B/ACTB/SLC44A2/CPNE2/CPNE1/WDR5/CORO1C/GNAS/ATP1A1/SHB/HSP90AB1/NCAM1/RPL14/EIF3J/GART/FGFR1/HNRNPK/HYOU1/DDX39A
s_m,hsa-miR-542-3p,hsa-miR-542-3p,99,0.3554,1.4544,0.0124,0.0334,0.0178,179,tags=37% list=25% signal=32%,CALM1/PFN1/TRIM28/CMIP/RAC1/DYNC1I2/ALDOA/SLC2A3/RTCB/TMBIM1/ILK/TGFB1/ADAM10/DIAPH1/VCP/RAB2A/YWHAB/ARF3/TLN1/PGK1/CD55/TXNRD1/STEAP3/YWHAZ/ATP5F1A/MYO18A/RAB11B/BSG/SRC/RPS6/YWHAE/CAPZA1/RAB8B/FLNA/ATP6V1A/PSMA7/LRPPRC
